player_id,player_name,player_first_name,player_last_name,player_team,player_team_id,previous_games,previous_average,previous_total,locked,active,played_status,supercoach_price,points,games,minutes_played,total_rebouds,total_assists,total_steals,total_blocks,total_turnovers,supercoach_position_1,injury_suspension_status,injury_suspension_status_text,supercoach_position_2
122,Bul Kuol,Bul,Kuol,Sydney Kings,9,24,11.04,265,FALSE,TRUE,Yet to play,175600,0,0,0,48,24,30,3,-12,FWD,NA,NA,GRD
123,Keli Leaupepe,Keli,Leaupepe,Sydney Kings,9,19,14,266,FALSE,TRUE,Yet to play,147900,0,0,0,0,0,0,0,0,FWD,Injury,ACL. Out for season.,NA
124,Makuach Maluach,Makuach,Maluach,Sydney Kings,9,20,7.05,141,FALSE,TRUE,Yet to play,68700,0,0,0,16,8,12,0,-6,FWD,Injury,Knee. Expected recovery time is to be confirmed.,NA
125,Goc Malual,Goc,Malual,Sydney Kings,9,0,0,0,FALSE,TRUE,Yet to play,58500,0,0,0,1,0,0,0,0,FWD,NA,NA,NA
126,Kouat Noi,Kouat,Noi,Sydney Kings,9,27,19.63,530,FALSE,TRUE,Yet to play,188200,0,0,0,45,20,18,0,-14,FWD,NA,NA,NA
127,Tyler Robertson,Tyler,Robertson,Sydney Kings,9,21,6.52,137,FALSE,TRUE,Yet to play,58500,0,0,0,0,10,0,3,-2,GRD,NA,NA,FWD
128,Tim Soares,Tim,Soares,Sydney Kings,9,0,0,0,FALSE,TRUE,Yet to play,272700,0,0,0,79,28,15,30,-16,CTR,NA,NA,NA
129,Jason Spurgin,Jason,Spurgin,Sydney Kings,9,7,0.86,6,FALSE,TRUE,Yet to play,58500,0,0,0,0,0,0,0,0,CTR,Injury,Foot. Expected to be available for late-season.,NA
130,Ben Ayre,Ben,Ayre,Tasmania JackJumpers,6,19,7.95,151,FALSE,TRUE,Yet to play,103200,0,0,0,14,42,15,6,-26,GRD,NA,NA,NA
131,Josh Bannan,Josh,Bannan,Tasmania JackJumpers,6,19,26.32,500,FALSE,TRUE,Yet to play,308600,0,0,0,112,52,15,3,-36,FWD,NA,NA,NA
132,Tyger Campbell,Tyger,Campbell,Tasmania JackJumpers,6,0,0,0,FALSE,TRUE,Yet to play,209700,0,0,0,23,106,15,0,-32,GRD,NA,NA,NA
133,Majok Deng,Majok,Deng,Tasmania JackJumpers,6,26,21.04,547,FALSE,TRUE,Yet to play,191500,0,0,0,37,10,24,12,-14,FWD,NA,NA,NA
134,Anthony Drmic,Anthony,Drmic,Tasmania JackJumpers,6,28,15.75,441,FALSE,TRUE,Yet to play,136300,0,0,0,11,14,15,3,-4,GRD,Injury,Back. Expected recovery time is to be confirmed.,FWD
135,Bryce Hamilton,Bryce,Hamilton,Tasmania JackJumpers,6,0,0,0,FALSE,TRUE,Yet to play,326500,0,0,0,59,82,39,9,-58,GRD,NA,NA,NA
136,David Johnson,David,Johnson,Tasmania JackJumpers,6,0,0,0,FALSE,TRUE,Yet to play,277000,0,0,0,10,4,6,3,-8,GRD,Injury,Calf. Expected to be available for November.,NA
137,Sean Macdonald,Sean,Macdonald,Tasmania JackJumpers,6,9,19.22,173,FALSE,TRUE,Yet to play,203100,0,0,0,0,0,0,0,0,GRD,Injury,ACL. Out for season.,NA
